Transaction Date,Post Date,Description,Category,Type, Amount ,Memo
10/1/2024,10/1/2024,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee, $(95.00),
10/4/2024,10/6/2024,SNCF VOYAGEURS,Transportation,Sale, $(5.53),
10/4/2024,10/6/2024,ST CHRISTOPHER  4343833,Accomodation,Sale, $(2.21),
10/4/2024,10/6/2024,NANDRE,Food & Drink,Sale, $(7.08),
10/5/2024,10/7/2024,SARL ANTALYA    4318002,Food & Drink,Sale, $(12.15),
10/5/2024,10/6/2024,MAISON BAYAT,Food & Drink,Sale, $(7.95),
10/6/2024,10/7/2024,GOURMANDISES,Food & Drink,Sale, $(16.23),
10/6/2024,10/7/2024,ST CHRISTOPHER  4343833,Food & Drink,Sale, $(22.91),
10/7/2024,10/8/2024,MAISON BAYAT,Food & Drink,Sale, $(8.28),
10/7/2024,10/8/2024,BOS WAHLBURGER 6551400,Food & Drink,Sale, $(19.47),
10/7/2024,10/8/2024,SNCF VOYAGEURS,Transportation,Sale, $(13.03),
10/10/2024,10/11/2024,UNIVERSITY OF GEORGIA,Entertainment,Sale, $(8.50),Golf Range
10/10/2024,10/11/2024,1386 GREAT CLIPS AT TRAIL,Health & Wellness,Sale, $(22.00),
10/10/2024,10/13/2024,TST*CLOCKED,Food & Drink,Sale, $(23.32),
10/11/2024,10/13/2024,GLF*GolfNowReservation,Entertainment,Sale, $(8.13),
10/11/2024,10/13/2024,FIRST WATCH 0199 PAT,Food & Drink,Sale, $(43.08),
10/11/2024,10/13/2024,GLF*GolfNowReservation,Entertainment,Sale, $(9.00),
10/12/2024,10/13/2024,Eurail,Transportation,Sale, $(24.86),
10/13/2024,10/15/2024,QT 831,Gas,Sale, $(32.02),
10/14/2024,10/16/2024,TRADER JOE S #734,Groceries,Sale, $(12.92),
10/15/2024,10/16/2024,KROGER #491,Groceries,Sale, $(3.08),
10/15/2024,10/16/2024,WILLYS MEXICANA GRILL 25,Food & Drink,Sale, $(9.72),
10/15/2024,10/16/2024,TST* GRINDHOUSE - BROOKHA,Food & Drink,Sale, $(20.00),
10/15/2024,10/16/2024,WAL-MART #2154,Groceries,Sale, $(12.75),
10/15/2024,10/16/2024,STCHRIS &amp; FPIG HOSTELS,Accomodation,Sale, $(142.90),
10/18/2024,10/20/2024,RATP,Transportation,Sale, $(18.87),
10/18/2024,10/20/2024,BE HAPPY        2476349,Entertainment,Sale, $(26.97),Halloween Fit
10/18/2024,10/20/2024,SNCF VOYAGEURS,Transportation,Sale, $(12.83),From Airport
10/18/2024,10/20/2024,ST CHRISTOPH SC 4331980,Food & Drink,Sale, $(11.42),
10/18/2024,10/20/2024,O SHOP MARKET   4124812,Groceries,Sale, $(6.52),
10/19/2024,10/21/2024,KIMSOU          4027843,Food & Drink,Sale, $(16.09),
10/19/2024,10/20/2024,THE MOOSE,Food & Drink,Sale, $(10.87),
10/19/2024,10/20/2024,QUAI DE LOIRE   2017929,Entertainment,Sale, $(9.68),
10/19/2024,10/20/2024,YZ DABABI,Food & Drink,Sale, $(6.31),
10/20/2024,10/21/2024,ST CHRISTOPH SC 4331980,Food & Drink,Sale, $(16.85),
10/20/2024,10/21/2024,Dott bike ride,Transportation,Sale, $(1.72),
10/20/2024,10/21/2024,YZ DABABI,Food & Drink,Sale, $(6.31),
10/20/2024,10/21/2024,FRANPRIX 4324,Groceries,Sale, $(2.91),
10/21/2024,10/22/2024,YZ DABABI,Food & Drink,Sale, $(11.63),
10/21/2024,10/21/2024,NETFLIX.COM,Entertainment,Sale, $(14.66),
10/23/2024,10/24/2024,FIRST PRESBYTERIAN CHURCH,Gifts & Donations,Sale, $(50.00),
10/27/2024,10/28/2024,MS* THEPEOPLEHOSTEL-S,Accomodation,Sale, $(370.55),
10/27/2024,10/28/2024,EASYJET AIR K8CV5XZ,Transportation,Sale, $(83.69),
10/27/2024,10/28/2024,Equity Point Lisboa  Unip,Accomodation,Sale, $(91.02),
10/27/2024,10/28/2024,MS* CENTRALHOSTELBORD,Accomodation,Sale, $(91.19),
10/27/2024,10/28/2024,WWW.HOSTELWORLD.COM,Accomodation,Sale, $(16.09),Bordeaux
10/27/2024,10/28/2024,TRANSAVIA   L961SF,Transportation,Sale, $(72.63),
10/27/2024,10/28/2024,WWW.HOSTELWORLD.COM,Accomodation,Sale, $(12.24),Lisbon
11/6/2024,11/8/2024,FLIX,Transportation,Sale, $(69.98),Berlin - Paris
11/7/2024,11/10/2024,LOCSERVICE     0399687,Accomodation,Sale, $(37.19),
11/8/2024,11/10/2024,LOCSERVICE     0399687,Accomodation,Sale, $(36.81),
11/12/2024,11/14/2024,FLIX,Transportation,Sale, $(36.98),Paris - Berlin
11/17/2024,11/18/2024,SNCF-VOYAGEURS,Transportation,Sale, $(4.77),To Bordeaux
11/18/2024,11/20/2024,CENTRAL HOSTEL,Food & Drink,Sale, $(8.48),
11/18/2024,11/20/2024,CENTRAL HOSTEL,Food & Drink,Sale, $(7.42),
11/18/2024,11/20/2024,SNCF-VOYAGEURS,Transportation,Sale, $(8.48),Dune
11/18/2024,11/20/2024,LOCSERVICE     0399687,Accomodation,Return, $35.78 ,
11/18/2024,11/20/2024,LIDL 3734,Groceries,Sale, $(4.88),
11/18/2024,11/19/2024,KEOLIS TBM DTTT,Transportation,Sale, $(14.30),Bordeaux
11/18/2024,11/19/2024,CITE DU VIN BILLETE,Entertainment,Sale, $(23.31),
11/18/2024,11/19/2024,TABAC BASSIN A 3121760,Food & Drink,Sale, $(14.83),
11/18/2024,11/18/2024,MS* CENTRALHOSTELBORD,Accomodation,Sale, $(4.87),
11/19/2024,11/21/2024,MEGARAMA BDX    2002476,Entertainment,Sale, $(21.96),
11/19/2024,11/20/2024,SARL DHS 33     4104691,Groceries,Sale, $(3.71),
11/19/2024,11/20/2024,ALDI FRCES048,Groceries,Sale, $(5.18),
11/19/2024,11/20/2024,SARL DHS 33     4104691,Groceries,Sale, $(7.45),
11/19/2024,11/20/2024,SNCF-VOYAGEURS,Transportation,Sale, $(8.49),Dune Return
11/19/2024,11/20/2024,VIANDAS DE SALAMANC,Food & Drink,Sale, $(6.90),
11/20/2024,11/22/2024,UGC BORNE BORDEA2412356,Entertainment,Sale, $(12.31),
11/20/2024,11/22/2024,UGC BORNE BORDEA2412356,Food & Drink,Sale, $(6.15),
11/20/2024,11/21/2024,MONOPRIX        4653752,Groceries,Sale, $(4.30),
11/20/2024,11/21/2024,ORTO,Food & Drink,Sale, $(12.20),
11/21/2024,11/24/2024,LIBRAIRIE MOLLAT,Shopping,Sale, $(20.16),
11/21/2024,11/24/2024,BASSIN LUMIERES 4958749,Entertainment,Sale, $(15.75),
11/21/2024,11/22/2024,SARL DHS 33     4104691,Groceries,Sale, $(6.94),
11/21/2024,11/22/2024,BASSIN LUMIERES 4958821,Shopping,Sale, $(9.40),
11/21/2024,11/22/2024,RELAY DAILY MON 4240480,Groceries,Sale, $(5.25),
11/21/2024,11/22/2024,CAFE GRANDS HOMM2961582,Food & Drink,Sale, $(4.12),
11/21/2024,11/22/2024,TABAC BASSIN A 3121760,Food & Drink,Sale, $(7.43),
11/21/2024,11/22/2024,KEOLIS TBM DTTT,Transportation,Sale, $(3.50),Bordeaux
11/21/2024,11/21/2024,NETFLIX.COM,Entertainment,Sale, $(14.32),
11/22/2024,11/24/2024,AEROPORTO,Food & Drink,Sale, $(2.43),
11/22/2024,11/24/2024,PANDA DA CANTINA,Food & Drink,Sale, $(17.19),
11/22/2024,11/24/2024,RESTAURANTE A MATA,Food & Drink,Sale, $(8.45),
11/22/2024,11/24/2024,AFONSO   LOURENCO,Food & Drink,Sale, $(21.52),
11/22/2024,11/24/2024,OPIF,Food & Drink,Sale, $(5.28),
11/23/2024,11/25/2024,TAVOLA BAR,Entertainment,Sale, $(32.55),Jazz Bar
11/23/2024,11/24/2024,MINIPRECO,Groceries,Sale, $(7.01),
11/23/2024,11/24/2024,VINCENT FARGES,Food & Drink,Sale, $(17.85),
11/23/2024,11/24/2024,CAIS SODRE,Transportation,Sale, $(3.78),
11/23/2024,11/24/2024,FIRST PRESBYTERIAN CHURCH,Gifts & Donations,Sale, $(50.00),
11/23/2024,11/24/2024,BEER EXPERIENCE,Food & Drink,Sale, $(4.41),
11/23/2024,11/24/2024,ROSSIO,Transportation,Sale, $(4.31),
11/23/2024,11/24/2024,A MANTEIGARIA,Food & Drink,Sale, $(2.73),
11/24/2024,11/25/2024,SWEET BRAIN UNIP LDA,Food & Drink,Sale, $(12.08),
11/24/2024,11/25/2024,PAD PORT PRI REAL,Food & Drink,Sale, $(4.94),
11/24/2024,11/25/2024,PADARIA DO BAIRRO,Food & Drink,Sale, $(7.67),
11/24/2024,11/25/2024,CASCAIS CSO TVM,Transportation,Sale, $(4.20),
11/24/2024,11/24/2024,BOLT.EU/O/2411240238,Transportation,Sale, $(2.78),
11/25/2024,11/26/2024,COLINORGULHOSA,Food & Drink,Sale, $(6.20),
11/25/2024,11/26/2024,WWW.HOSTELWORLD.COM,Accomodation,Sale, $(182.41),
11/25/2024,11/26/2024,LA MATTA PIZZERIA,Food & Drink,Sale, $(26.88),
11/25/2024,11/26/2024,FINESTEMSEMBLE LDA,Food & Drink,Sale, $(11.45),
11/26/2024,11/28/2024,Transavia France,Food & Drink,Sale, $(3.27),
11/26/2024,11/28/2024,JO&amp;JOE GENTILLY,Accomodation,Sale, $(31.59),
11/26/2024,11/27/2024,CONFEITARIA NACIONAL,Food & Drink,Sale, $(5.48),
11/26/2024,11/27/2024,ONE EAT         4119415,Food & Drink,Sale, $(8.42),
11/26/2024,11/27/2024,SC-PHARM SOLEIL,Shopping,Sale, $(6.79),EyeContactSolution
11/26/2024,11/27/2024,UBR* PENDING.UBER.COM,Transportation,Sale, $(22.79),
11/26/2024,11/27/2024,BOLT.EU/O/2411260739,Transportation,Sale, $(5.61),
11/26/2024,11/27/2024,WWW.SPAREROOM.FR,Accomodation,Sale, $(15.79),
11/27/2024,11/28/2024,JO&amp;JOE GENTILLY,Accomodation,Sale, $(5.27),
11/27/2024,11/28/2024,UBR* PENDING.UBER.COM,Transportation,Sale, $(12.85),
11/27/2024,11/28/2024,LE LIEUTADES    4410602,Food & Drink,Sale, $(28.47),
11/28/2024,12/1/2024,FLIX,Transportation,Sale, $(73.97),Paris - Strasbourg
11/28/2024,11/29/2024,SINGER109 HOSTEL,Accomodation,Sale, $(3.18),
11/28/2024,11/29/2024,Wash Box GmbH,Travel,Sale, $(5.29),
11/28/2024,11/29/2024,Wash Box GmbH,Travel,Sale, $(7.94),
11/29/2024,12/1/2024,DB Automaten,Transportation,Sale, $(4.65),
11/29/2024,12/1/2024,IMMERGRUEN BERLIN OSTB,Food & Drink,Sale, $(8.40),
11/29/2024,12/1/2024,ODEG GMBH,Transportation,Sale, $(4.65),
11/29/2024,12/1/2024,C STORE,Groceries,Sale, $(4.22),
11/29/2024,12/1/2024,Kater Club GmbH,Food & Drink,Sale, $(9.51),
11/29/2024,11/29/2024,AIRALO,Travel,Sale, $(6.50),
11/30/2024,12/2/2024,Aral Station 271000002,Food & Drink,Sale, $(4.81),Faxe
11/30/2024,12/2/2024,Aral Station 271000002,Food & Drink,Sale, $(2.80),Faxe
11/30/2024,12/1/2024,BVG,Transportation,Sale, $(2.54),
11/30/2024,12/1/2024,S-Bahn Berlin GmbH,Transportation,Sale, $(3.71),
11/30/2024,12/1/2024,Renate,Food & Drink,Sale, $(11.13),
11/30/2024,12/1/2024,Renate,Food & Drink,Sale, $(9.01),
11/30/2024,12/1/2024,EDEKA SCHAAF,Groceries,Sale, $(12.77),
11/30/2024,12/1/2024,Renate,Food & Drink,Sale, $(4.77),
11/30/2024,12/1/2024,Renate,Food & Drink,Sale, $(4.77),
11/30/2024,12/1/2024,FRITTENWERK BERLIN MOB,Food & Drink,Sale, $(16.75),
12/1/2024,12/2/2024,ALTE MUNZE,Food & Drink,Sale, $(31.80),
12/1/2024,12/2/2024,SumUp  *MC Kebap,Food & Drink,Sale, $(8.48),
12/1/2024,12/2/2024,MCDONALD S DEUTSCHLAND,Food & Drink,Sale, $(7.40),
12/1/2024,12/2/2024,S-Bahn Berlin GmbH,Transportation,Sale, $(3.71),
12/2/2024,12/4/2024,COPY TOP        2104439,Shopping,Sale, $(5.30),
12/2/2024,12/3/2024,SC-CHICKEN STREE,Food & Drink,Sale, $(12.67),
12/2/2024,12/3/2024,TABAC DES BUTTES,Food & Drink,Sale, $(7.42),
12/2/2024,12/3/2024,CLASS' CROUTE,Food & Drink,Sale, $(8.30),
12/2/2024,12/3/2024,ST CHRISTOPH SC 4331980,Accomodation,Sale, $(76.84),
12/2/2024,12/3/2024,ST CHRISTOPHER  4513993,Accomodation,Sale, $(25.97),
12/3/2024,12/5/2024,RATP,Transportation,Sale, $(18.38),
12/3/2024,12/4/2024,ST CHRISTOPH SC 4331980,Food & Drink,Sale, $(5.30),
12/3/2024,12/4/2024,SUSHI HOUSE     2990922,Food & Drink,Sale, $(16.84),
12/3/2024,12/4/2024,SATNAM,Food & Drink,Sale, $(15.26),
12/4/2024,12/6/2024,SC-MC BRIDE,Food & Drink,Sale, $(9.48),
12/4/2024,12/5/2024,INTERMARCHE,Groceries,Sale, $(3.01),
12/4/2024,12/5/2024,O TACOS CHATELET,Food & Drink,Sale, $(13.17),
12/5/2024,12/8/2024,QUAI DE LOIRE   2017948,Entertainment,Sale, $(6.27),
12/5/2024,12/8/2024,ST CHRISTOPH SC 4331980,Accomodation,Sale, $(62.23),
12/5/2024,12/6/2024,FLUTE DE MEAUX,Food & Drink,Sale, $(5.70),
12/5/2024,12/6/2024,YZ DABABI,Food & Drink,Sale, $(5.48),
12/5/2024,12/6/2024,PIZZERIA CORDIAL2967812,Food & Drink,Sale, $(9.43),
12/6/2024,12/8/2024,PARIS CORDIAL,Food & Drink,Sale, $(11.23),
12/6/2024,12/8/2024,FRANPRIX 5365,Groceries,Sale, $(4.18),
12/6/2024,12/8/2024,PAIN LA MAISON DES D,Food & Drink,Sale, $(8.16),
12/6/2024,12/8/2024,WWW.SPAREROOM.FR,Accomodation,Sale, $(31.76),
12/7/2024,12/9/2024,QUAI DE SEINE   2018027,Entertainment,Sale, $(9.46),
12/7/2024,12/8/2024,TABAC DE LA NAV,Food & Drink,Sale, $(9.57),
12/7/2024,12/8/2024,QUAI DE SEINE   2018012,Food & Drink,Sale, $(9.04),
12/7/2024,12/8/2024,ST CHRISTOPH SC 4331980,Food & Drink,Sale, $(5.32),
12/7/2024,12/8/2024,YZ DABABI,Food & Drink,Sale, $(8.29),
12/7/2024,12/8/2024,ST CHRISTOPH SC 4331980,Food & Drink,Sale, $(7.44),
12/8/2024,12/9/2024,EDELWEISS BERCY,Food & Drink,Sale, $(21.26),
12/8/2024,12/9/2024,YZ DABABI,Food & Drink,Sale, $(6.80),
12/9/2024,12/11/2024,ROYAL DE DIJON  2449541,Food & Drink,Sale, $(8.51),
12/9/2024,12/10/2024,LIDL     3212,Groceries,Sale, $(39.34),
12/9/2024,12/10/2024,4779 Charenton-le-Pont,Shopping,Sale, $(42.74),Home Goods
12/9/2024,12/10/2024,OMIO,Transportation,Sale, $(96.18),
12/10/2024,12/11/2024,SHOTGUN* LES NUITS PHA,Entertainment,Sale, $(10.91),
12/10/2024,12/11/2024,PARISTORE       4896483,Groceries,Sale, $(10.70),
12/11/2024,12/12/2024,LE SON DU PAIN,Food & Drink,Sale, $(6.13),
12/11/2024,12/12/2024,FRANCK PROVOST,Shopping,Sale, $(33.82),Haircut
12/12/2024,12/13/2024,DVF,Food & Drink,Sale, $(8.64),
12/13/2024,12/16/2024,THE FROG &amp; BRITI,Food & Drink,Sale, $(6.85),
12/13/2024,12/15/2024,RESTO SAS   LA TERRA,Food & Drink,Sale, $(9.48),
12/13/2024,12/15/2024,RESTO SAS   LA TERRA,Food & Drink,Sale, $(9.48),
12/13/2024,12/15/2024,RESTO SAS   LA TERRA,Food & Drink,Sale, $(9.48),
12/13/2024,12/15/2024,PACYL2,Shopping,Sale, $(27.05),Home Goods
12/13/2024,12/15/2024,RESTO SAS   LA TERRA,Food & Drink,Sale, $(9.48),
12/13/2024,12/15/2024,4779 Charenton-le-Pont,Groceries,Sale, $(17.37),
12/14/2024,12/16/2024,RATP,Transportation,Sale, $(36.53),
12/14/2024,12/15/2024,CHEZ ARTHUR,Food & Drink,Sale, $(18.95),
12/14/2024,12/15/2024,FRANPRIX BERCY,Groceries,Sale, $(16.36),
12/15/2024,12/16/2024,LA CABANE A MARI,Groceries,Sale, $(6.32),
12/15/2024,12/16/2024,SC.FRANPRIX,Groceries,Sale, $(7.63),
12/16/2024,12/17/2024,LIDL     3212,Groceries,Sale, $(11.95),
12/17/2024,12/19/2024,DECATHLON TOLBIA2134725,Shopping,Sale, $(36.84),Shoes
12/18/2024,12/19/2024,A. MIAM MIAM,Food & Drink,Sale, $(14.22),
12/19/2024,12/24/2024,CARREFEXPRESSSCO,Groceries,Sale, $(5.66),
12/19/2024,12/20/2024,ARMAND THIERY   4974706,Shopping,Sale, $(125.13),Coat
12/20/2024,12/24/2024,DM OUTLET,Shopping,Sale, $(52.12),Sweaters
12/20/2024,12/22/2024,UGC BERCY       2412506,Entertainment,Sale, $(8.86),
12/20/2024,12/22/2024,LES 4 B,Food & Drink,Sale, $(5.11),
12/20/2024,12/22/2024,UGC BORNES BERCY2412499,Entertainment,Sale, $(6.15),
12/20/2024,12/22/2024,NETFLIX.COM,Entertainment,Sale, $(14.09),
12/21/2024,12/23/2024,STADE FRAN AIS,Food & Drink,Sale, $(11.49),
12/21/2024,12/23/2024,STADE FRANCAIS,Food & Drink,Sale, $(8.88),
12/21/2024,12/23/2024,FLIX,Transportation,Sale, $(103.97),Strasbourg - Chamonix
12/21/2024,12/23/2024,STADE FRAN AIS,Entertainment,Sale, $(24.66),
12/21/2024,12/23/2024,ORECA,Shopping,Sale, $(24.03),Rugby Scarf
12/21/2024,12/22/2024,PHARMACIE DU PAR2466581,Shopping,Sale, $(16.61),EyeContactSolution
12/22/2024,12/23/2024,OMIO,Transportation,Return, $89.41 ,
12/22/2024,12/23/2024,Strasbourg,Food & Drink,Sale, $(16.82),
12/23/2024,12/25/2024,TABAC ST GUILLAU,Food & Drink,Sale, $(7.31),
12/23/2024,12/25/2024,FLIX,Transportation,Sale, $(79.98),Chamonix - Paris
12/23/2024,12/24/2024,MAISON DES BRAD,Groceries,Sale, $(6.16),
12/23/2024,12/24/2024,LA FERME VOINOT,Groceries,Sale, $(11.49),
12/23/2024,12/24/2024,SNCF VOYAGEURS,Transportation,Sale, $(31.55),
12/23/2024,12/24/2024,FIRST PRESBYTERIAN CHURCH,Gifts & Donations,Sale, $(50.00),
12/23/2024,12/24/2024,LES BRASSEURS,Food & Drink,Sale, $(27.37),
12/23/2024,12/24/2024,MAISON ALEXANDRE,Food & Drink,Sale, $(7.63),
12/23/2024,12/24/2024,MC2G,Groceries,Sale, $(20.90),
12/24/2024,12/26/2024,PETITES FUGUES,Shopping,Sale, $(36.57),Book
12/24/2024,12/25/2024,STRASSBURGER,Food & Drink,Sale, $(18.80),
12/24/2024,12/25/2024,E CENTER KOHLER,Food & Drink,Sale, $(9.96),
12/25/2024,12/27/2024,WAKE UP,Food & Drink,Sale, $(6.35),
12/25/2024,12/26/2024,BFA,Food & Drink,Sale, $(10.41),
12/25/2024,12/26/2024,KEBS BABA,Food & Drink,Sale, $(8.23),
12/25/2024,12/26/2024,UGC STRASBOURG  2412460,Entertainment,Sale, $(16.45),
12/26/2024,12/27/2024,LES BRASSEURS,Food & Drink,Sale, $(29.15),
12/27/2024,12/30/2024,CIE DU MONT BLANC,Entertainment,Return, $80.00 ,
12/27/2024,12/29/2024,CIE DU MONT BLANC,Entertainment,Sale, $(141.90),
12/28/2024,12/29/2024,LH SG,Entertainment,Sale, $(59.54),
12/28/2024,12/29/2024,BOZON SPORTS,Entertainment,Sale, $(91.92),
12/28/2024,12/29/2024,CARREFOUR MARKET,Groceries,Sale, $(1.25),
12/29/2024,12/31/2024,ROYAL DE DIJON  2449541,Food & Drink,Sale, $(10.97),
12/30/2024,12/31/2024,SC.FRANPRIX,Groceries,Sale, $(13.07),
12/30/2024,12/31/2024,LIDL PARIS 13,Groceries,Sale, $(44.59),
12/30/2024,12/31/2024,PARISTORE       4896483,Groceries,Sale, $(4.02),
12/31/2024,12/31/2024,Boucherie Thein,Food & Drink,Sale, $(11.70),
12/31/2024,12/31/2024,Maison Du Marais,Food & Drink,Sale, $(8.26),
12/31/2024,12/31/2024,Imperial House,Food & Drink,Sale, $(25.95),
12/31/2024,12/31/2024,LS The Great Canadian,Food & Drink,Sale, $(14.64),
12/31/2024,12/31/2024,LS The Great Canadian,Food & Drink,Sale, $(29.19),
1/3/2025,1/5/2025,DECATHLON TOLBIA2134725,Clothes,Sale, $(41.51),Sweats & Allez Blues
1/3/2025,1/5/2025,SCBUREAU VALLEE,Shopping,Sale, $(21.30),CVs
1/3/2025,1/5/2025,LIDL     3212,Groceries,Snacks, $(7.27),Lidl
1/4/2025,1/6/2025,STADE FRAN AIS,Entertainment,Sale, $(24.33),Rugby
1/4/2025,1/5/2025,Dott pass,Commute,Sale, $(5.15),
1/4/2025,1/5/2025,Dott bike ride,Commute,Sale, $(4.28),
1/4/2025,1/5/2025,Dott bike ride,Commute,Sale, $(1.80),
1/5/2025,1/6/2025,BERCY FOOD,Groceries,Groceries, $(12.89),
1/7/2025,1/8/2025,frappe boulange 4064778,Food & Drink,Breakfast/Lunch, $(8.25),
1/7/2025,1/9/2025,LE DUGOMMIER    4700439,Food & Drink,Beer, $(7.31),
1/7/2025,1/8/2025,SC-LETISSIER,Food & Drink,Snacks, $(4.12),
1/7/2025,1/8/2025,MONA LISAIT     2473585,Shopping,Sale, $(3.65),Books
1/9/2025,1/10/2025,YUCOS           2003387,Food & Drink,Breakfast/Lunch, $(9.84),
1/10/2025,1/12/2025,Dott bike ride,Commute,Sale, $(1.81),
1/11/2025,1/13/2025,FRESH BURRITOS B,Food & Drink,Dinner, $(15.88),
1/11/2025,1/13/2025,MCDONALDS 405   2402937,Food & Drink,Dinner, $(14.18),
1/11/2025,1/12/2025,SC-DEGRIFF DES,Clothes,Sale, $(12.38),
1/11/2025,1/13/2025,STADE FRAN AIS,Entertainment,Sale, $(12.17),Rugby
1/11/2025,1/12/2025,BOUCHERIE THIEN 4996338,Food & Drink,Breakfast/Lunch, $(10.93),
1/11/2025,1/12/2025,LIDL     3212,Groceries,Snacks, $(5.27),Lidl
1/12/2025,1/13/2025,SC.FRANPRIX,Groceries,Sale, $(9.42),Franprix
1/12/2025,1/14/2025,ROYAL DE DIJON  2449541,Food & Drink,Dinner, $(9.28),
1/12/2025,1/14/2025,BUFFET GARE,Food & Drink,Snacks, $(3.61),
1/13/2025,1/15/2025,DECATHLON TOLBIA2134725,Clothes,Sale, $(24.96),Swim Gear
1/13/2025,1/15/2025,PARIS72 COMPTOIR,Food & Drink,Dinner, $(13.67),
1/14/2025,1/15/2025,LIDL PARIS 13,Groceries,Sale, $(44.11),Lidl
1/14/2025,1/15/2025,SC.FRANPRIX,Groceries,Sale, $(14.58),Franprix
1/14/2025,1/15/2025,LA TERRASSE,Food & Drink,Beer, $(8.20),
1/15/2025,1/16/2025,STOCK II        2949503,Clothes,Sale, $(44.33),
1/15/2025,1/16/2025,MONA LISAIT     2473585,Shopping,Sale, $(3.61),Books
1/15/2025,1/16/2025,Dott bike ride,Commute,Sale, $(1.80),
1/15/2025,1/16/2025,Dott bike ride,Commute,Sale, $(1.80),
1/16/2025,1/17/2025,Dott bike ride,Commute,Sale, $(1.81),
1/17/2025,1/19/2025,ROYAL DE DIJON  2449541,Food & Drink,Dinner, $(9.30),
1/17/2025,1/19/2025,RATP,Travel,Sale, $(4.64),Metro
1/17/2025,1/19/2025,Dott bike ride,Commute,Sale, $(1.81),
1/18/2025,1/19/2025,LE ROSSLI,Food & Drink,Beer, $(7.23),
1/18/2025,1/19/2025,Dott bike ride,Commute,Sale, $(1.81),
1/19/2025,1/20/2025,Dott bike ride,Commute,Sale, $(1.81),
1/19/2025,1/20/2025,Dott bike ride,Commute,Sale, $(1.81),
1/20/2025,1/21/2025,Dott bike ride,Commute,Sale, $(1.81),
1/21/2025,1/22/2025,LIDL     3212,Groceries,Sale, $(18.82),Lidl
1/21/2025,1/22/2025,SC.FRANPRIX,Groceries,Sale, $(15.37),Franprix
1/21/2025,1/22/2025,BOUCHERIE THIEN 4996338,Food & Drink,Breakfast/Lunch, $(14.71),
1/21/2025,1/21/2025,NETFLIX.COM,Bills & Utilities,Sale, $(14.08),
1/21/2025,1/22/2025,Dott bike ride,Commute,Sale, $(1.83),
1/21/2025,1/22/2025,Dott bike ride,Commute,Sale, $(1.83),
1/22/2025,1/24/2025,RATP,Travel,Sale, $(23.48),Metro
1/22/2025,1/23/2025,Dott bike ride,Commute,Sale, $(1.83),
1/23/2025,1/24/2025,FIRST PRESBYTERIAN CHURCH,Gifts & Donations,Sale, $(50.00),
1/23/2025,1/24/2025,Dott bike ride,Commute,Sale, $(1.83),
1/24/2025,1/26/2025,Dott bike ride,Commute,Sale, $(1.83),
1/24/2025,1/26/2025,Dott bike ride,Commute,Sale, $(1.83),
1/25/2025,1/28/2025,Dominos PARIS,Food & Drink,Dinner, $(13.67),
1/25/2025,1/28/2025,MONOPRIX        4653012,Groceries,Snacks, $(2.09),Monoprix
1/25/2025,1/28/2025,Dott bike ride,Commute,Sale, $(1.84),
1/26/2025,1/28/2025,L ESCALE DE BER 4330817,Food & Drink,Dinner, $(15.79),
1/26/2025,1/28/2025,Dott bike ride,Commute,Sale, $(1.84),
1/27/2025,1/29/2025,LIDL      3216,Groceries,Snacks, $(7.02),Lidl
1/27/2025,1/29/2025,SUMUP  *3K CHICK,Food & Drink,Snacks, $(6.32),
1/27/2025,1/29/2025,Dott bike ride,Commute,Sale, $(1.84),
1/28/2025,1/29/2025,Dott bike ride,Commute,Sale, $(1.84),
1/29/2025,1/30/2025,SUPERETTE L.M.J,Groceries,Snacks, $(2.31),
1/29/2025,1/30/2025,Dott bike ride,Commute,Sale, $(1.84),
1/30/2025,1/31/2025,PARIS AQUATIQUE,Entertainment,Sale, $(117.20),Water Polo 
1/30/2025,1/31/2025,SC.BOULANGERIE,Food & Drink,Snacks, $(6.69),
1/30/2025,1/31/2025,SUPERETTE L.M.J,Groceries,Snacks, $(2.30),
1/30/2025,1/31/2025,Dott bike ride,Commute,Sale, $(1.83),
1/30/2025,1/31/2025,Dott bike ride,Commute,Sale, $(1.83),
1/31/2025,2/2/2025,LE CAFE DE LA GA,Food & Drink,Beer, $(7.33),
1/31/2025,2/2/2025,Dott bike ride,Commute,Sale, $(1.83),
2/1/2025,2/3/2025,ROYAL DE DIJON  2449541,Food & Drink,Dinner, $(10.44),
2/1/2025,2/2/2025,SC.FRANPRIX,Groceries,Sale, $(8.60),Franprix
2/1/2025,2/2/2025,B4E,Food & Drink,Snacks, $(7.83),
2/1/2025,2/2/2025,Dott bike ride,Commute,Sale, $(1.83),
2/1/2025,2/2/2025,Dott bike ride,Commute,Sale, $(1.83),
2/1/2025,2/2/2025,Dott bike ride,Commute,Sale, $(1.83),
2/2/2025,2/3/2025,DACO,Food & Drink,Breakfast/Lunch, $(11.48),
2/2/2025,2/4/2025,LE NEMROD       2437511,Food & Drink,Beer, $(10.44),
2/2/2025,2/3/2025,Dott bike ride,Commute,Sale, $(1.83),
2/2/2025,2/3/2025,Dott bike ride,Commute,Sale, $(1.83),
2/3/2025,2/5/2025,ROYAL DE DIJON  2449541,Food & Drink,Dinner, $(10.96),
2/3/2025,2/4/2025,Dott pass,Commute,Sale, $(10.43),
2/3/2025,2/4/2025,Dott bike ride,Commute,Sale, $(1.30),
